timestamps,TP9,AF7,AF8,TP10,Right AUX
1587019719.283,2.441,35.645,23.926,-0.977,-19.531
1587019719.287,65.430,35.156,20.508,52.734,-3.906
1587019719.291,71.289,39.551,24.902,66.895,33.691
1587019719.295,10.254,41.504,28.809,18.066,39.551
1587019719.299,-9.766,39.551,27.832,0.000,4.395
1587019719.303,49.805,37.109,25.391,48.340,34.180
1587019719.307,74.219,37.109,28.320,78.125,110.352
1587019719.311,19.043,41.504,32.715,31.738,86.914
1587019719.315,2.930,41.504,26.367,1.953,5.371
1587019719.319,64.453,38.086,28.320,51.758,11.719
1587019719.322,82.031,36.133,39.551,81.055,51.270
1587019719.326,22.949,33.691,42.969,37.109,-25.879
1587019719.330,-21.484,30.273,41.992,-9.277,-17.578
1587019719.334,4.395,23.926,40.039,1.953,77.148
1587019719.338,47.852,15.625,42.480,41.016,53.223
1587019719.342,28.809,11.719,49.805,32.227,20.508
1587019719.346,-34.668,10.254,55.176,-18.555,25.879
1587019719.350,-44.922,8.301,58.105,-26.855,35.156
1587019719.354,15.625,2.441,59.570,26.855,33.691
1587019719.358,25.879,0.000,54.199,43.457,46.387
1587019719.362,-28.809,2.930,51.758,-5.371,80.566
1587019719.365,-41.992,5.859,53.223,-26.367,81.055
1587019719.369,-0.977,6.348,54.688,18.555,97.168
1587019719.373,41.504,4.395,53.711,51.758,79.590
1587019719.377,11.230,8.301,55.664,15.137,69.824
1587019719.381,-27.344,13.184,55.664,-20.996,42.480
1587019719.385,16.113,13.672,50.781,10.742,-10.254
1587019719.389,67.871,16.602,54.199,61.035,3.418
1587019719.393,40.039,20.996,53.223,41.504,16.602
1587019719.397,-10.742,23.438,57.617,0.488,13.672
1587019719.401,-0.488,18.555,56.152,9.766,9.766
1587019719.405,55.176,15.137,46.875,51.758,-5.859
1587019719.408,42.480,18.555,46.875,46.387,34.180
1587019719.412,-29.297,22.461,49.805,-14.160,26.367
1587019719.416,-28.320,21.484,50.293,-24.902,21.973
1587019719.420,33.203,22.461,46.387,28.809,38.574
1587019719.424,41.504,26.367,45.898,41.992,55.176
